0.0000 	0.0100 	0.0003 	0.0001
0.0000 	0.0200 	0.0021 	0.0009
0.0000 	0.0300 	0.0067 	0.0028
0.0000 	0.0400 	0.0152 	0.0065
0.0000 	0.0500 	0.0285 	0.0121
0.0000 	0.0600 	0.0472 	0.0201
0.0000 	0.0700 	0.0718 	0.0306
0.0000 	0.0800 	0.1027 	0.0437
0.0000 	0.0900 	0.1400 	0.0596
0.0000 	0.1000 	0.1837 	0.0782
0.0000 	0.1100 	0.2338 	0.0995
0.0000 	0.1200 	0.2902 	0.1235
0.0000 	0.1300 	0.3524 	0.1500
0.0000 	0.1400 	0.4203 	0.1788
0.0000 	0.1500 	0.4933 	0.2099
0.0000 	0.1600 	0.5710 	0.2430
0.0000 	0.1700 	0.6529 	0.2778
0.0000 	0.1800 	0.7383 	0.3142
0.0000 	0.1900 	0.8267 	0.3518
0.0000 	0.2000 	0.9175 	0.3904
0.0000 	0.2100 	1.0100 	0.4298
0.0000 	0.2200 	1.1036 	0.4696
0.0000 	0.2300 	1.1976 	0.5096
0.0000 	0.2400 	1.2914 	0.5495
0.0000 	0.2500 	1.3843 	0.5891
0.0000 	0.2600 	1.4757 	0.6280
0.0000 	0.2700 	1.5651 	0.6660
0.0000 	0.2800 	1.6518 	0.7029
0.0000 	0.2900 	1.7353 	0.7385
0.0000 	0.3000 	1.8152 	0.7724
0.0000 	0.3100 	1.8908 	0.8046
0.0000 	0.3200 	1.9617 	0.8348
0.0000 	0.3300 	2.0277 	0.8629
0.0000 	0.3400 	2.0882 	0.8886
0.0000 	0.3500 	2.1430 	0.9119
0.0000 	0.3600 	2.1917 	0.9327
0.0000 	0.3700 	2.2342 	0.9507
0.0000 	0.3800 	2.2703 	0.9661
0.0000 	0.3900 	2.2997 	0.9786
0.0000 	0.4000 	2.3224 	0.9883
0.0000 	0.4100 	2.3384 	0.9951
0.0000 	0.4200 	2.3476 	0.9990
0.0000 	0.4300 	2.3500 	1.0000
0.0000 	0.4400 	2.3457 	0.9982
0.0000 	0.4500 	2.3348 	0.9935
0.0000 	0.4600 	2.3174 	0.9862
0.0000 	0.4700 	2.2938 	0.9761
0.0000 	0.4800 	2.2641 	0.9635
0.0000 	0.4900 	2.2286 	0.9483
0.0000 	0.5000 	2.1875 	0.9309
0.0000 	0.5100 	2.1412 	0.9112
0.0000 	0.5200 	2.0899 	0.8893
0.0000 	0.5300 	2.0341 	0.8656
0.0000 	0.5400 	1.9741 	0.8401
0.0000 	0.5500 	1.9103 	0.8129
0.0000 	0.5600 	1.8430 	0.7843
0.0000 	0.5700 	1.7728 	0.7544
0.0000 	0.5800 	1.7000 	0.7234
0.0000 	0.5900 	1.6250 	0.6915
0.0000 	0.6000 	1.5483 	0.6589
0.0000 	0.6100 	1.4703 	0.6257
0.0000 	0.6200 	1.3914 	0.5921
0.0000 	0.6300 	1.3122 	0.5584
0.0000 	0.6400 	1.2328 	0.5246
0.0000 	0.6500 	1.1539 	0.4910
0.0000 	0.6600 	1.0757 	0.4578
0.0000 	0.6700 	0.9987 	0.4250
0.0000 	0.6800 	0.9232 	0.3928
0.0000 	0.6900 	0.8495 	0.3615
0.0000 	0.7000 	0.7779 	0.3310
0.0000 	0.7100 	0.7088 	0.3016
0.0000 	0.7200 	0.6424 	0.2734
0.0000 	0.7300 	0.5789 	0.2463
0.0000 	0.7400 	0.5185 	0.2206
0.0000 	0.7500 	0.4614 	0.1964
0.0000 	0.7600 	0.4078 	0.1735
0.0000 	0.7700 	0.3577 	0.1522
0.0000 	0.7800 	0.3113 	0.1325
0.0000 	0.7900 	0.2685 	0.1142
0.0000 	0.8000 	0.2294 	0.0976
0.0000 	0.8100 	0.1939 	0.0825
0.0000 	0.8200 	0.1621 	0.0690
0.0000 	0.8300 	0.1337 	0.0569
0.0000 	0.8400 	0.1088 	0.0463
0.0000 	0.8500 	0.0871 	0.0370
0.0000 	0.8600 	0.0684 	0.0291
0.0000 	0.8700 	0.0527 	0.0224
0.0000 	0.8800 	0.0396 	0.0168
0.0000 	0.8900 	0.0289 	0.0123
0.0000 	0.9000 	0.0204 	0.0087
0.0000 	0.9100 	0.0138 	0.0059
0.0000 	0.9200 	0.0089 	0.0038
0.0000 	0.9300 	0.0054 	0.0023
0.0000 	0.9400 	0.0030 	0.0013
0.0000 	0.9500 	0.0015 	0.0006
0.0000 	0.9600 	0.0006 	0.0003
0.0000 	0.9700 	0.0002 	0.0001
0.0000 	0.9800 	0.0000 	0.0000
0.0000 	0.9900 	0.0000 	0.0000
